Charles	D	Piot	Professor	CA
Irene	M.	Silverblatt	Professor of Cultural Anthropology, History and Women's Studies, Director of Undergraduate Studies	CA
Patricia	D	Bodager	Department Administrator, Director of Undergraduate Studies Assistant	CA
Rebecca	L.	Stein	Nicholas J. and Theresa M. Leonardy Associate Professor of Cultural Anthropology, Director of Graduate Studies	CA
Bernice	-	Patterson	DGSA-Assistant to the Director of Graduate Studies	CA
Charles	D	Piot	Professor	CA
Anne	-	Allison	Robert O. Keohane Professor of Cultural Anthropology; Professor of Women's Studies	CA
Lee	D.	Baker	Dean of Academic Affairs of Trinity College; Professor of Cultural Anthropology and Sociology	CA
Engseng	-	Ho	Professor of Cultural Anthropology, History and Duke Islamic Studies Center	CA
J.	Lorand	Matory	Lawrence Richardson Professor of Cultural Anthropology and African and African American Studies and Director, Center for African and African American Research	CA
Diane	M	Nelson	Professor of Cultural Anthropology, Latin American and Caribbean Studies, and Women's Studies	CA
William	M	O'Barr	Professor of Cultural Anthropology, English and Sociology	CA
Irene	M.	Silverblatt	Professor of Cultural Anthropology, History and Women's Studies, Director of Undergraduate Studies	CA
Orin	-	Starn	Professor of Cultural Anthropology and History	CA
Charlie	D	Thompson	Professor of the Practice and Adjunct Professor of Religion	CA
Ralph	A	Litzinger	Associate Professor of Cultural Anthropology and Women's Studies; Faculty Director of Global Semester Abroad; Coordinator, Duke Undergraduate Initiatives in China; Director, Duke Engage, Beijing	CA
Louise	-	Meintjes	Associate Professor of Cultural Anthropology and Music	CA
Rebecca	L.	Stein	Nicholas J. and Theresa M. Leonardy Associate Professor of Cultural Anthropology, Director of Graduate Studies	CA
Anne-Maria	B	Makhulu	Assistant Professor of Cultural Anthropology and African & African American Studies	CA
Laurie	-	McIntosh	Assistant Professor	CA
Harris	-	Solomon	Assistant Professor of Cultural Anthropology and Global Health	CA
Ingrid	Bianca	Byerly	Senior Lecturing Fellow of Cultural Anthropology and Music	CA
Robin	-	Kirk	Executive Director, Duke Human Rights Center	CA
Edna	-	Andrews	Director, Center for Slavic, Eurasian and East European Studies; Professor of Linguistics and Cultural Anthropology	CA
Bayo	-	Holsey	Assistant Professor of African & African American Studies and Cultural Anthropology	CA
Walter	D	Mignolo	William H. Wannamaker Professor of Literature and Romance Studies; Professor of Spanish and Cultural Anthropology	CA
William	M.	Reddy	William T. Laprade Professor of History; Professor of Cultural Anthropology	CA
Rob	-	Sikorski	Former Executive Director of Duke University Center for International Studies and Cultural Anthropology and Faculty Research Associate	CA
Julie	Tetel	Andresen	Associate Professor of  English and Cultural Anthropology	CA
Ara	-	Wilson	Director of the Study of Sexualities; Associate Professor of Women's Studies and Cultural Anthropology	CA
Richard	L	Collier	Archivist, Hartman Center for Sales, Advertising & Marketing History. Instructor	CA
Kamela	S.	Heyward-Rotimi	Research Scholar	CA
Mahadev	L.	Apte	Professor Emeritus	CA
Katherine	P.	Ewing	Professor Emerita	CA
Ernestine	P.	Friedl	Professor Emerita	CA
Naomi	-	Quinn	Professor Emerita	CA
