Steven	W.	Baldwin	Professor	CHEM
David	N.	Beratan	Professor	CHEM
Dorian	A	Canelas	Assistant Professor of the Practice	CHEM
Patrick	-	Charbonneau	Associate Professor	CHEM
Stephen	L	Craig	Professor and Department Chair	CHEM
Alvin	L.	Crumbliss	Professor	CHEM
Emily	R	Derbyshire	Assistant Professor	CHEM
Martin	C	Fischer	Associate Research Professor	CHEM
Michael	C	Fitzgerald	Professor	CHEM
Aaron	-	Franklin	Associate Professor	CHEM
Katherine	J	Franz	Associate Professor and Associate Chair	CHEM
Amanda	E.	Hargrove	Assistant Professor	CHEM
Jiyong	-	Hong	Associate Professor and Director of Graduate Studies	CHEM
Jie	-	Liu	Professor	CHEM
Richard	A	MacPhail	Associate Professor and Director of Undergraduate Studies	CHEM
Steven	-	Malcolmson	Assistant Professor	CHEM
Dewey	G.	McCafferty	Professor	CHEM
Agostino	-	Migliore	Assistant Research Professor	CHEM
Jennifer	L.	Roizen	Assistant Professor	CHEM
Christopher	P	Roy	Assoc. Dir. of Undergraduate Studies	CHEM
Michael	J	Therien	Professor	CHEM
Eric	J.	Toone	Professor	CHEM
Tuan	-	Vo-Dinh	Professor	CHEM
Qiu	-	Wang	Assistant Professor	CHEM
Warren	S.	Warren	Professor	CHEM
Kevin	-	Welsher	Scholar in Residence	CHEM
Ross	A.	Widenhoefer	Professor	CHEM
Benjamin	J.	Wiley	Assistant Professor	CHEM
Weitao	-	Yang	Professor	CHEM
Peng	-	Zhang	Assistant Research Professor	CHEM
