Elizabeth	A.	Albright	Assistant Professor of the Practice of Environmental Science and Policy Methods	NICHOLAS
Paul	A.	Baker	Professor of Earth and Ocean Sciences	NICHOLAS
Xavier	-	Basurto	Assistant Professor of Sustainability Science	NICHOLAS
Lori	Snyder	Bennear	Associate Professor of Environmental Economics and Policy	NICHOLAS
Alan	E.	Boudreau	Professor	NICHOLAS
Nicolette	-	Cagle	Lecturer	NICHOLAS
Lisa	-	Campbell	Rachel Carson Associate Professor of Marine Affairs and Policy	NICHOLAS
Nicolas	-	Cassar	Associate Professor of Biogeochemistry	NICHOLAS
William	-	Chameides	Professor of the Environment	NICHOLAS
Charlotte	-	Clark	Assistant Professor of the Practice in Sustainability Education	NICHOLAS
James	S.	Clark	Nicholas Professor of Environmental Science	NICHOLAS
Richard	T. Di	Giulio	Professor of Environmental Toxicology	NICHOLAS
Jean-	Christophe	Domec	Visiting Professor	NICHOLAS
Martin	-	Doyle	Professor of River Systems Science and Policy	NICHOLAS
Gary	S.	Dwyer	 Senior Research Scientist	NICHOLAS
John	P.	Fay	Instructor, Geospatial Analysis Program	NICHOLAS
P.	Lee	Ferguson	Associate Professor of Environmental Chemistry and Engineering 	NICHOLAS
Richard	B.	Forward	Research Professor	NICHOLAS
Deborah	-	Gallagher	Associate Professor of the Practice of Resource and Environmental Policy	NICHOLAS
Alexander	-	Glass	Lecturer	NICHOLAS
Jay	-	Golden	Associate Professor of the Practice of Sustainable Systems Analysis	NICHOLAS
Peter	K.	Haff	Professor of Geology and Civil and Environmental Engineering	NICHOLAS
Patrick	N.	Halpin	Associate Professor of Marine Geospatial Ecology	NICHOLAS
Peter	-	Harrell	Instructor and Research Associate, Geospatial Analysis Program	NICHOLAS
James	Brendan	Heffernan	Assistant Professor of Ecosystem Ecology and Ecohydrology	NICHOLAS
James	-	Hench	Assistant Professor of Oceanography	NICHOLAS
David	E.	Hinton	Nicholas Professor of Environmental Quality	NICHOLAS
Dana	E.	Hunt	Assistant Professor of Microbial Ecology	NICHOLAS
Timothy	Lawrence	Johnson	Associate Professor of the Practice in Energy and the Environment	NICHOLAS
Zackary	-	Johnson	Arthur P. Kaupe Assistant Professor of Molecular Biology in Marine Science	NICHOLAS
David	William	Johnston	Assistant Professor of the Practice of Marine Conservation Ecology	NICHOLAS
Prasad	S.	Kasibhatla	Professor of Environmental Chemistry	NICHOLAS
Gabriel	G.	Katul	Theodore S. Coile Professor of Hydrology and Micrometeorology	NICHOLAS
Emily	M.	Klein	Professor of Earth Sciences	NICHOLAS
