FIRSTNAME	MI	LASTNAME	TITLE	MATHEMATICS
Henry	H.	Adams	Visiting Assistant Professor	MATHEMATICS
Nicolas		Addington	Assistant Research Professor	MATHEMATICS
William	K	Allard	Professor Emeritus	MATHEMATICS
Paul	S	Aspinwall	Professor of Mathematics and Physics and Associate Chair	MATHEMATICS
Austin	J.	Baird	Visiting Assistant Professor	MATHEMATICS
Rann		Bar-On	Lecturer	MATHEMATICS
Paolo	Emilio	Barbano	Visiting Assistant Professor	MATHEMATICS
Anirban		Basak	Visiting Assistant Professor	MATHEMATICS
J.	Thomas	Beale	Professor	MATHEMATICS
Paul	L.	Bendich	Assistant Research Professor	MATHEMATICS
Lydia	M.	Bilinsky	Visiting Assistant Professor	MATHEMATICS
Lewis	D	Blake	Associate Professor of the Practice	MATHEMATICS
Omer		Bobrowski	Assistant Research Professor	MATHEMATICS
Jack		Bookman	Professor Of The Practice Emeritus of Mathematics and Education	MATHEMATICS
Emily		Braley	Assistant Professor of the Practice	MATHEMATICS
Clark	B	Bray	Associate Professor of the Practice and Supervisor of First Year Instruction	MATHEMATICS
Hubert	L.	Bray	Professor of Mathematics and Physics	MATHEMATICS
Robert	L	Bryant	Phillip Griffiths Professor of Mathematics	MATHEMATICS
Jameson		Cahill	Visiting Assistant Professor	MATHEMATICS
Robert		Calderbank	Phillip Griffiths Professor of Computer Science and Mathematics and Electrical & Computer Engineering	MATHEMATICS
Bruno	I	Cornelis	Visiting Assistant Professor	MATHEMATICS
Justin	M.	Curry	Visiting Assistant Professor	MATHEMATICS
Ingrid		Daubechies	James B. Duke Professor of Mathematics	MATHEMATICS
Anatasia		Deckard	Visiting Assistant Professor	MATHEMATICS
John	E.	Dolbow	Professor of Civil and Environmental Engineering and Mathematics	MATHEMATICS
Xiaoying		Dong	Adjunct Assistant Professor	MATHEMATICS
David	B.	Dunson	Professor of Statistical Science and Mathematics	MATHEMATICS
Rick		Durrett	James B. Duke Professor of Mathematics and Director of Graduate Studies	MATHEMATICS
Brendan		Fry	Visiting Assistant Professor	MATHEMATICS
Ellen		Gasparovic	Assistant Research Professor	MATHEMATICS
Samuel		Gerber	Visiting Assistant Professor	MATHEMATICS
Jayce	R.	Getz	Assistant Professor	MATHEMATICS
Heekyoung		Hahn	Assistant Research Professor	MATHEMATICS
Richard	M	Hain	Professor	MATHEMATICS
John		Harer	Professor of Mathematics and Electrical & Computer Engineering	MATHEMATICS
Gregory		Herschlag	Visiting Assistant Professor	MATHEMATICS
Richard	E	Hodel	Associate Professor Emeritus	MATHEMATICS
Joseph		Kitchen	Associate Professor Emeritus	MATHEMATICS
David		Kraines	Associate Professor	MATHEMATICS
David		Lawlor	Visiting Assistant Professor	MATHEMATICS
Anita	T	Layton	Robert R. and Katherine B. Penn Associate Professor	MATHEMATICS
Harold		Layton	Professor and Chair	MATHEMATICS
Wenjing		Liao	Visiting Assistant Professor	MATHEMATICS
Michael		Lipnowski	Assistant Research Professor	MATHEMATICS
Jian-Guo		Liu	Professor of Mathematics and Physics	MATHEMATICS
Jianfeng		Lu	Assistant Professor of Mathematics and Chemistry and Physics	MATHEMATICS
Mauro		Maggioni	Professor of Mathematics and Computer Science and Electrical and Computer Engineering	MATHEMATICS
Jonathan	C.	Mattingly	Professor of Mathematics and Statistical Science	MATHEMATICS
Kevin	A	McGoff	Visiting Assistant Professor	MATHEMATICS
Ezra		Miller	Professor of Mathematics and Statistical Science	MATHEMATICS
Lawrence	C	Moore	Associate Professor Emeritus	MATHEMATICS
Francis	C.	Motta	Visiting Assistant Professor	MATHEMATICS
Sayan		Mukherjee	Associate Professor of Statistical Science and Mathematics	MATHEMATICS
Lenhard	L	Ng	Associate Professor	MATHEMATICS
James		Nolen	Assistant Professor	MATHEMATICS
Goní_alo		Oliveira	Assistant Research Professor	MATHEMATICS
William	L	Pardon	Professor	MATHEMATICS
Jose	A.	Perea	Visiting Assistant Professor	MATHEMATICS
Arlie	O	Petters	Benjamin Powell Professor & Professor of Mathematics and Physics and Business Administration	MATHEMATICS
Lillian		Pierce	Assistant Professor	MATHEMATICS
M.	Ronen	Plesser	Associate Professor of Physics and Mathematics	MATHEMATICS
Michael	C	Reed	Professor	MATHEMATICS
Donald		Rose	Professor of Computer Science and Mathematics	MATHEMATICS
Marc	D	Ryser	Visiting Assistant Professor	MATHEMATICS
Leslie	D.	Saper	Professor	MATHEMATICS
David	G	Schaeffer	James B. Duke Professor	MATHEMATICS
Chad		Schoen	Professor and Director of Undergraduate Studies	MATHEMATICS
Sarah		Schott	Assistant Professor of the Practice and Associate Director of Undergraduate Studies	MATHEMATICS
Hans-Jurgen	F	Sladeczek	Sr. Research Scientist	MATHEMATICS
David	A	Smith	Associate Professor Emeritus and Co-Director Connected Curriculum Project	MATHEMATICS
Mark	A	Stern	Professor	MATHEMATICS
John		Trangenstein	Professor of Mathematics and Civil and Environmental Engineering	MATHEMATICS
Stephanos		Venakides	Professor	MATHEMATICS
Stefano		Vigogna	Research Scholar	MATHEMATICS
Jonathan	M.	Wahl	Adjunct Professor and DMJ Managing Editor	MATHEMATICS
Yi	(Grace)	Wang	Visiting Assistant Professor	MATHEMATICS
Seth	L	Warner	Professor Emeritus	MATHEMATICS
Morris		Weisfeld	Professor Emeritus	MATHEMATICS
Thomas	P.	Witelski	Professor	MATHEMATICS
Xin		Zhou	Professor Emeritus	MATHEMATICS
Zhennan		Zhou	Assistant Research Professor	MATHEMATICS
